SLC50A1	NM_001122837,NM_001122839,NM_001287586,NM_001287587,NM_001287588,NM_001287589,NM_001287590,NM_001287591,NM_001287592,NM_018845
SMARCD2	NM_001098426,NM_001330439,NM_001330440
SNHG3	NR_002909,NR_036473
SPINT2	NM_001166103,NM_021102
SRGN	NM_001321053,NM_001321054,NM_002727
SRPRA	NM_001177842,NM_003139
ST13	NM_001278589,NM_003932
STOM	NM_001270526,NM_001270527,NM_004099,NM_198194,NR_073037
STOML2	NM_001287031,NM_001287032,NM_001287033,NM_013442
STX16	NM_001001433,NM_001134772,NM_001134773,NM_001204868,NM_003763,NR_037941,NR_037942,NR_037943
STX16-NPEPL1	NR_037945
SYNE2	NM_015180,NM_182910,NM_182913,NM_182914
TAPBP	NM_003190,NM_172208,NM_172209
TARP	NM_001003799,NM_001003806
TBC1D4	NM_001286658,NM_001286659,NM_014832
TCEA3	NM_003196
TCF7	NM_001134851,NM_001346425,NM_001346450,NM_003202,NM_201632,NM_201634,NM_213648,NR_033449
TCF7L2	NM_001146274,NM_001146283,NM_001146284,NM_001146285,NM_001146286,NM_001198525,NM_001198526,NM_001198527,NM_001198528,NM_001198529,NM_001198530,NM_001198531,NM_001349870,NM_001349871,NM_001363501,NM_030756
TENT5C	NM_017709
TESPA1	NM_001098815,NM_001136030,NM_001261844,NM_001351148,NM_001351149,NM_001351150,NM_001351151,NM_001351152,NM_001351153,NM_001351154,NM_001351155,NM_014796,NR_147062,NR_147063,NR_147064,NR_147065,NR_147066,NR_147067,NR_147068,NR_147069,NR_147070,NR_147071,NR_147072,NR_147073
TFDP2	NM_001178138,NM_001178139,NM_001178140,NM_001178141,NM_001178142,NM_006286
TGFBR2	NM_001024847,NM_003242
TIGIT	NM_173799
TLCD2	NM_001164407
TMEM123	NM_052932
TNFRSF1B	NM_001066
TRABD2A	NM_001080824,NM_001277053,NM_001307978
TRAT1	NM_001317747,NM_016388
TRMT2A	NM_001257994,NM_001331039,NM_022727,NM_182984
TRMT2B	NM_001167970,NM_001167971,NM_001167972,NM_024917
TTC38	NM_017931
TUBD1	NM_001193609,NM_001193610,NM_001193611,NM_001193612,NM_001193613,NM_016261
TXN	NM_001244938,NM_003329
TXN2	NM_012473
TXNDC11	NM_001303447,NM_001324022,NM_001324024,NM_001324025,NM_015914,NR_136671,NR_136672,NR_136673,NR_136674
TXNDC12	NM_015913,NR_046405,NR_046406
TXNDC12-AS1	NR_126385
TXNDC15	NM_001350735,NM_024715
TXNDC16	NM_001160047,NM_020784
TXNDC17	NM_032731
TXNDC9	NM_005783
TXNIP	NM_001313972,NM_006472
TXNL1	NM_004786,NR_024546
TXNL4A	NM_001303471,NM_001305557,NM_001305563,NM_001305564,NM_006701,NR_131175,NR_131176,NR_131177
TXNL4B	NM_001142317,NM_001142318,NM_001324354,NM_001324355,NM_017853
TXNRD1	NM_001093771,NM_001261445,NM_001261446,NM_003330,NM_182729,NM_182742,NM_182743
TXNRD2	NM_001282512,NM_001352300,NM_001352301,NM_001352302,NM_001352303,NM_006440,NR_147957
TXNRD3	NM_001173513,NM_052883
TYROBP	NM_001173514,NM_001173515,NM_003332,NM_198125,NR_033390
U2AF1L4	NM_001040425,NM_144987,NR_110171,NR_110172,NR_110173
UBLCP1	NM_145049
VCL	NM_003373,NM_014000
YES1	NM_005433
YWHAQ	NM_006826
ZEB2	NM_001171653,NM_014795,NR_033258
ZEB2-AS1	NR_040248
ZFP14	NM_001297619,NM_020917
ZFP82	NM_001321917,NM_001321918,NM_001321919,NM_133466
ZMAT3	NM_022470,NM_152240
ZMYM5	NM_001039649,NM_001039650,NM_001142684
ZNF101	NM_001300949,NM_033204
ZNF124	NM_001243740,NM_001297567,NM_001297568,NM_001297569,NM_003431
ZNF320	NM_001351773,NM_001351774,NM_001351775,NM_001351776,NM_001351777,NM_207333
ZNF426	NM_001300883,NM_001318055,NM_001318056,NM_024106
ZNF426-DT	NR_134920,NR_134921
ZNF528	NM_032423
ZNF528-AS1	NR_125345
ZNF683	NM_001114759,NM_001307925,NM_173574
ZSCAN22	NM_001321116,NM_001321117,NM_181846
